  A(0,0) el   0.0 az  180.0  B(1,0) el  -0.0 az  170.5  IoU 0.821  A px 5526 B px 5418
  A(3,2) el  60.8 az  153.4  B(3,3) el  80.5 az  180.0  IoU 0.050  A px 3065 B px 366
  A(3,2) el  60.8 az  153.4  B(4,1) el  29.0 az  123.7  IoU 0.164  A px 3065 B px 3115
  A(4,2) el  60.8 az  116.6  B(5,2) el  53.1 az   90.0  IoU 0.300  A px 3287 B px 2178
  A(4,2) el  60.8 az  116.6  B(4,3) el  80.5 az   90.0  IoU 0.065  A px 3287 B px 602
  A(4,2) el  60.8 az  116.6  B(5,1) el  25.9 az  104.0  IoU 0.420  A px 3287 B px 3387
  A(5,2) el  53.1 az   90.0  B(6,2) el  25.9 az   76.0  IoU 0.530  A px 3901 B px 3999
  A(5,2) el  53.1 az   90.0  B(5,3) el  60.8 az   63.4  IoU 0.244  A px 3901 B px 1352
  A(5,2) el  53.1 az   90.0  B(6,1) el  21.8 az   90.0  IoU 0.622  A px 3901 B px 3765
  A(6,2) el  25.9 az   76.0  B(7,2) el   0.0 az   68.2  IoU 0.727  A px 5338 B px 5184
  A(6,2) el  25.9 az   76.0  B(6,3) el  29.0 az   56.3  IoU 0.433  A px 5338 B px 4065
  A(6,2) el  25.9 az   76.0  B(7,1) el   0.0 az   80.5  IoU 0.763  A px 5338 B px 4985
  A(7,2) el   0.0 az   68.2  B(7,3) el   0.0 az   53.1  IoU 0.510  A px 5696 B px 4757
  A(0,3) el   0.0 az -143.1  B(1,3) el  29.0 az -146.3  IoU 0.781  A px 5260 B px 4661
  A(0,3) el   0.0 az -143.1  B(0,4) el   0.0 az -126.9  IoU 0.546  A px 5260 B px 4960
  A(0,3) el   0.0 az -143.1  B(1,2) el  25.9 az -166.0  IoU 0.279  A px 5260 B px 3676
  A(1,3) el  29.0 az -146.3  B(2,3) el  60.8 az -153.4  IoU 0.397  A px 4674 B px 2575
  A(1,3) el  29.0 az -146.3  B(1,4) el  29.0 az -123.7  IoU 0.199  A px 4674 B px 2775
  A(1,3) el  29.0 az -146.3  B(2,2) el  53.1 az  180.0  IoU 0.103  A px 4674 B px 2097
  A(2,3) el  60.8 az -153.4  B(3,3) el  80.5 az  180.0  IoU 0.162  A px 2900 B px 1155
  A(2,3) el  60.8 az -153.4  B(2,4) el  60.8 az -116.6  IoU 0.106  A px 2900 B px 1337
  A(2,3) el  60.8 az -153.4  B(3,2) el  60.8 az  153.4  IoU 0.070  A px 2900 B px 1306
  A(3,3) el  80.5 az  180.0  B(4,3) el  80.5 az   90.0  IoU 0.296  A px 1508 B px 674
  A(3,3) el  80.5 az  180.0  B(3,4) el  80.5 az  -90.0  IoU 0.180  A px 1508 B px 835
  A(3,3) el  80.5 az  180.0  B(4,2) el  60.8 az  116.6  IoU 0.075  A px 1508 B px 1541
  A(4,3) el  80.5 az   90.0  B(5,3) el  60.8 az   63.4  IoU 0.299  A px 1749 B px 1605
  A(4,3) el  80.5 az   90.0  B(4,4) el  80.5 az    0.0  IoU 0.145  A px 1749 B px 864
  A(4,3) el  80.5 az   90.0  B(5,2) el  53.1 az   90.0  IoU 0.269  A px 1749 B px 1893
  A(5,3) el  60.8 az   63.4  B(6,3) el  29.0 az   56.3  IoU 0.567  A px 3151 B px 3137
  A(5,3) el  60.8 az   63.4  B(5,4) el  60.8 az   26.6  IoU 0.167  A px 3151 B px 1680
  A(5,3) el  60.8 az   63.4  B(6,2) el  25.9 az   76.0  IoU 0.500  A px 3151 B px 3578
  A(6,3) el  29.0 az   56.3  B(7,3) el   0.0 az   53.1  IoU 0.751  A px 4909 B px 4804
  A(6,3) el  29.0 az   56.3  B(6,4) el  29.0 az   33.7  IoU 0.426  A px 4909 B px 4001
  A(6,3) el  29.0 az   56.3  B(7,2) el   0.0 az   68.2  IoU 0.537  A px 4909 B px 5190
  A(7,3) el   0.0 az   53.1  B(7,4) el   0.0 az   36.9  IoU 0.416  A px 5317 B px 4131
  A(0,4) el   0.0 az -126.9  B(1,4) el  29.0 az -123.7  IoU 0.694  A px 5311 B px 4949
  A(0,4) el   0.0 az -126.9  B(0,5) el   0.0 az -111.8  IoU 0.628  A px 5311 B px 5382
  A(0,4) el   0.0 az -126.9  B(1,3) el  29.0 az -146.3  IoU 0.324  A px 5311 B px 3988
  A(1,4) el  29.0 az -123.7  B(2,4) el  60.8 az -116.6  IoU 0.294  A px 5003 B px 2310
  A(1,4) el  29.0 az -123.7  B(1,5) el  25.9 az -104.0  IoU 0.389  A px 5003 B px 3714
  A(1,4) el  29.0 az -123.7  B(2,3) el  60.8 az -153.4  IoU 0.072  A px 5003 B px 1754
  A(2,4) el  60.8 az -116.6  B(3,4) el  80.5 az  -90.0  IoU 0.150  A px 3553 B px 919
  A(2,4) el  60.8 az -116.6  B(2,5) el  53.1 az  -90.0  IoU 0.214  A px 3553 B px 2145
  A(2,4) el  60.8 az -116.6  B(3,3) el  80.5 az  180.0  IoU 0.052  A px 3553 B px 422
  A(3,4) el  80.5 az  -90.0  B(4,4) el  80.5 az    0.0  IoU 0.205  A px 2149 B px 1018
  A(3,4) el  80.5 az  -90.0  B(3,5) el  60.8 az  -63.4  IoU 0.261  A px 2149 B px 2141
  A(3,4) el  80.5 az  -90.0  B(4,3) el  80.5 az   90.0  IoU 0.055  A px 2149 B px 444
  A(4,4) el  80.5 az    0.0  B(5,4) el  60.8 az   26.6  IoU 0.349  A px 1947 B px 1907
  A(4,4) el  80.5 az    0.0  B(4,5) el  60.8 az  -26.6  IoU 0.315  A px 1947 B px 2145
  A(4,4) el  80.5 az    0.0  B(5,3) el  60.8 az   63.4  IoU 0.104  A px 1947 B px 1853
  A(5,4) el  60.8 az   26.6  B(6,4) el  29.0 az   33.7  IoU 0.605  A px 3235 B px 3440
  A(5,4) el  60.8 az   26.6  B(5,5) el  53.1 az    0.0  IoU 0.325  A px 3235 B px 2644
  A(5,4) el  60.8 az   26.6  B(6,3) el  29.0 az   56.3  IoU 0.295  A px 3235 B px 3905
  A(6,4) el  29.0 az   33.7  B(7,4) el   0.0 az   36.9  IoU 0.729  A px 4952 B px 5147
  A(6,4) el  29.0 az   33.7  B(6,5) el  25.9 az   14.0  IoU 0.468  A px 4952 B px 4539
  A(6,4) el  29.0 az   33.7  B(7,3) el   0.0 az   53.1  IoU 0.300  A px 4952 B px 5396
  A(7,4) el   0.0 az   36.9  B(7,5) el   0.0 az   21.8  IoU 0.476  A px 5274 B px 3571
  A(0,5) el   0.0 az -111.8  B(1,5) el  25.9 az -104.0  IoU 0.656  A px 5684 B px 5792
  A(0,5) el   0.0 az -111.8  B(0,6) el   0.0 az  -99.5  IoU 0.776  A px 5684 B px 5609
  A(0,5) el   0.0 az -111.8  B(1,4) el  29.0 az -123.7  IoU 0.572  A px 5684 B px 5520
  A(1,5) el  25.9 az -104.0  B(2,5) el  53.1 az  -90.0  IoU 0.318  A px 5550 B px 3224
  A(1,5) el  25.9 az -104.0  B(1,6) el  21.8 az  -90.0  IoU 0.575  A px 5550 B px 4613
  A(1,5) el  25.9 az -104.0  B(2,4) el  60.8 az -116.6  IoU 0.345  A px 5550 B px 3773
  A(2,5) el  53.1 az  -90.0  B(3,5) el  60.8 az  -63.4  IoU 0.278  A px 4273 B px 1829
  A(2,5) el  53.1 az  -90.0  B(2,6) el  25.9 az  -76.0  IoU 0.475  A px 4273 B px 3764
  A(2,5) el  53.1 az  -90.0  B(3,4) el  80.5 az  -90.0  IoU 0.159  A px 4273 B px 1728
  A(3,5) el  60.8 az  -63.4  B(4,5) el  60.8 az  -26.6  IoU 0.164  A px 3612 B px 1669
  A(3,5) el  60.8 az  -63.4  B(3,6) el  29.0 az  -56.3  IoU 0.527  A px 3612 B px 3861
  A(3,5) el  60.8 az  -63.4  B(4,4) el  80.5 az    0.0  IoU 0.089  A px 3612 B px 665
  A(4,5) el  60.8 az  -26.6  B(5,5) el  53.1 az    0.0  IoU 0.322  A px 3508 B px 2554
  A(4,5) el  60.8 az  -26.6  B(4,6) el  29.0 az  -33.7  IoU 0.540  A px 3508 B px 3832
  A(4,5) el  60.8 az  -26.6  B(5,4) el  60.8 az   26.6  IoU 0.112  A px 3508 B px 1758
  A(5,5) el  53.1 az    0.0  B(6,5) el  25.9 az   14.0  IoU 0.601  A px 3930 B px 4247
  A(5,5) el  53.1 az    0.0  B(5,6) el  25.9 az  -14.0  IoU 0.626  A px 3930 B px 3897
  A(5,5) el  53.1 az    0.0  B(6,4) el  29.0 az   33.7  IoU 0.317  A px 3930 B px 4130
  A(6,5) el  25.9 az   14.0  B(7,5) el   0.0 az   21.8  IoU 0.641  A px 5075 B px 5297
  A(6,5) el  25.9 az   14.0  B(6,6) el  21.8 az    0.0  IoU 0.652  A px 5075 B px 5038
  A(6,5) el  25.9 az   14.0  B(7,4) el   0.0 az   36.9  IoU 0.245  A px 5075 B px 6220
  A(7,5) el   0.0 az   21.8  B(7,6) el   0.0 az    9.5  IoU 0.687  A px 5062 B px 4283
  A(0,6) el   0.0 az  -99.5  B(1,6) el  21.8 az  -90.0  IoU 0.656  A px 5827 B px 6312
  A(0,6) el   0.0 az  -99.5  B(0,7) el   0.0 az  -90.0  IoU 0.839  A px 5827 B px 5731
  A(0,6) el   0.0 az  -99.5  B(1,5) el  25.9 az -104.0  IoU 0.732  A px 5827 B px 6112
  A(1,6) el  21.8 az  -90.0  B(2,6) el  25.9 az  -76.0  IoU 0.591  A px 5730 B px 4723
  A(1,6) el  21.8 az  -90.0  B(1,7) el   0.0 az  -80.5  IoU 0.766  A px 5730 B px 5564
  A(1,6) el  21.8 az  -90.0  B(2,5) el  53.1 az  -90.0  IoU 0.508  A px 5730 B px 4516
  A(2,6) el  25.9 az  -76.0  B(3,6) el  29.0 az  -56.3  IoU 0.437  A px 5585 B px 4539
  A(2,6) el  25.9 az  -76.0  B(2,7) el   0.0 az  -68.2  IoU 0.734  A px 5585 B px 6199
  A(2,6) el  25.9 az  -76.0  B(3,5) el  60.8 az  -63.4  IoU 0.277  A px 5585 B px 3280
  A(3,6) el  29.0 az  -56.3  B(4,6) el  29.0 az  -33.7  IoU 0.355  A px 5454 B px 4451
  A(3,6) el  29.0 az  -56.3  B(3,7) el   0.0 az  -53.1  IoU 0.730  A px 5454 B px 5645
  A(3,6) el  29.0 az  -56.3  B(4,5) el  60.8 az  -26.6  IoU 0.149  A px 5454 B px 2372
  A(4,6) el  29.0 az  -33.7  B(5,6) el  25.9 az  -14.0  IoU 0.479  A px 5185 B px 4783
  A(4,6) el  29.0 az  -33.7  B(4,7) el   0.0 az  -36.9  IoU 0.735  A px 5185 B px 4710
  A(4,6) el  29.0 az  -33.7  B(5,5) el  53.1 az    0.0  IoU 0.172  A px 5185 B px 3012
  A(5,6) el  25.9 az  -14.0  B(6,6) el  21.8 az    0.0  IoU 0.626  A px 5259 B px 4805
  A(5,6) el  25.9 az  -14.0  B(5,7) el   0.0 az  -21.8  IoU 0.762  A px 5259 B px 4859
  A(5,6) el  25.9 az  -14.0  B(6,5) el  25.9 az   14.0  IoU 0.393  A px 5259 B px 4581
  A(6,6) el  21.8 az    0.0  B(7,6) el   0.0 az    9.5  IoU 0.633  A px 5379 B px 5559
  A(6,6) el  21.8 az    0.0  B(6,7) el   0.0 az   -9.5  IoU 0.737  A px 5379 B px 5157
  A(6,6) el  21.8 az    0.0  B(7,5) el   0.0 az   21.8  IoU 0.319  A px 5379 B px 6281
  A(7,6) el   0.0 az    9.5  B(7,7) el   0.0 az    0.0  IoU 0.751  A px 5401 B px 5204
  A(0,7) el   0.0 az  -90.0  B(1,7) el   0.0 az  -80.5  IoU 0.833  A px 5819 B px 5778
  A(0,7) el   0.0 az  -90.0  B(1,6) el  21.8 az  -90.0  IoU 0.788  A px 5819 B px 6303
  A(1,7) el   0.0 az  -80.5  B(2,7) el   0.0 az  -68.2  IoU 0.700  A px 5870 B px 6359
  A(1,7) el   0.0 az  -80.5  B(2,6) el  25.9 az  -76.0  IoU 0.724  A px 5870 B px 6349
  A(2,7) el   0.0 az  -68.2  B(3,7) el   0.0 az  -53.1  IoU 0.517  A px 5894 B px 6169
  A(2,7) el   0.0 az  -68.2  B(3,6) el  29.0 az  -56.3  IoU 0.558  A px 5894 B px 6942
  A(3,7) el   0.0 az  -53.1  B(4,7) el   0.0 az  -36.9  IoU 0.483  A px 5762 B px 6211
  A(3,7) el   0.0 az  -53.1  B(4,6) el  29.0 az  -33.7  IoU 0.332  A px 5762 B px 6313
  A(4,7) el   0.0 az  -36.9  B(5,7) el   0.0 az  -21.8  IoU 0.714  A px 5549 B px 5361
  A(4,7) el   0.0 az  -36.9  B(5,6) el  25.9 az  -14.0  IoU 0.350  A px 5549 B px 5642
  A(5,7) el   0.0 az  -21.8  B(6,7) el   0.0 az   -9.5  IoU 0.770  A px 5446 B px 5547
  A(5,7) el   0.0 az  -21.8  B(6,6) el  21.8 az    0.0  IoU 0.407  A px 5446 B px 5333
  A(6,7) el   0.0 az   -9.5  B(7,7) el   0.0 az    0.0  IoU 0.778  A px 5520 B px 5512
  A(6,7) el   0.0 az   -9.5  B(7,6) el   0.0 az    9.5  IoU 0.485  A px 5520 B px 4436
blast_n8 frameOffset as shipped   steps 0: neighbour-vs-self IoU mean 0.288  min 0.019  (161 pairs)
blast_n8 frameOffset as shipped   steps 1: neighbour-vs-self IoU mean 0.459  min 0.050  (161 pairs)
blast_n8 frameOffset as shipped   steps 8: neighbour-vs-self IoU mean 0.461  min 0.055  (161 pairs)
blast_n8 frameOffset TRANSPOSED   steps 0: neighbour-vs-self IoU mean 0.309  min 0.012  (161 pairs)
blast_n8 frameOffset TRANSPOSED   steps 1: neighbour-vs-self IoU mean 0.347  min 0.006  (161 pairs)
blast_n8 frameOffset TRANSPOSED   steps 8: neighbour-vs-self IoU mean 0.355  min 0.009  (161 pairs)
