cx,cy,trees,placements,treeBases,landMin,landMax,relief,maxTreeExtent
-36,26,3,3,2,11272.0,11928.0,656.0,835.0
-36,27,5,5,2,10800.0,11448.0,648.0,1007.8
-36,28,1,1,1,10808.0,11552.0,744.0,1101.2
-36,29,4,4,2,11056.0,11992.0,936.0,1007.8
-36,30,1,1,1,10720.0,11984.0,1264.0,1101.2
-36,-43,4,4,4,11088.0,11552.0,464.0,1101.2
-36,-42,2,2,2,11096.0,12232.0,1136.0,712.9
-36,-41,3,3,2,11584.0,12248.0,664.0,1101.2
-36,-29,7,7,4,17240.0,19112.0,1872.0,867.1
-36,-28,4,4,3,16424.0,17936.0,1512.0,867.1
-36,-27,3,3,3,16112.0,17480.0,1368.0,867.1
-36,-24,10,10,5,15912.0,17424.0,1512.0,915.9
-36,-23,16,16,6,16024.0,17560.0,1536.0,915.9
-36,-22,21,21,10,14816.0,17272.0,2456.0,1326.5
-36,-21,15,15,7,14712.0,18048.0,3336.0,1101.2
-36,-20,13,13,7,15728.0,17976.0,2248.0,915.9
-36,-19,4,4,3,15000.0,17376.0,2376.0,1326.5
-36,-11,6,6,4,9944.0,11480.0,1536.0,1101.2
-36,-10,3,3,2,10392.0,11976.0,1584.0,1101.2
-36,-9,5,5,3,11208.0,12832.0,1624.0,1007.8
-36,-8,2,2,2,11936.0,13704.0,1768.0,1101.2
-36,-7,3,3,2,12432.0,13520.0,1088.0,915.9
-36,-2,1,1,1,12648.0,14080.0,1432.0,1101.2
-36,-1,1,1,1,12264.0,13520.0,1256.0,915.9
-35,0,4,4,3,11312.0,12736.0,1424.0,1101.2
-35,1,3,3,3,11288.0,12752.0,1464.0,1007.8
-35,2,3,3,3,11312.0,12864.0,1552.0,1101.2
-35,3,5,5,3,11624.0,14504.0,2880.0,1007.8
-35,4,5,5,3,12256.0,14992.0,2736.0,1101.2
-35,5,12,12,5,12432.0,14784.0,2352.0,1101.2
-35,6,6,6,4,12256.0,13984.0,1728.0,1101.2
-35,7,2,2,2,11704.0,13368.0,1664.0,1007.8
-35,8,6,6,3,11800.0,13840.0,2040.0,1007.8
-35,9,4,4,3,12896.0,14328.0,1432.0,1007.8
-35,10,1,2,1,12896.0,15112.0,2216.0,1101.2
-35,11,7,7,3,14008.0,16584.0,2576.0,1007.8
-35,12,2,2,2,15664.0,18032.0,2368.0,1101.2
-35,13,5,5,3,16888.0,19632.0,2744.0,1007.8
-35,14,2,2,1,18264.0,20136.0,1872.0,1101.2
-35,15,8,8,4,17288.0,20032.0,2744.0,1101.2
-35,16,4,4,3,16456.0,19128.0,2672.0,1101.2
-35,17,1,1,1,15056.0,17248.0,2192.0,835.0
-35,18,2,2,2,13416.0,15784.0,2368.0,1007.8
-35,19,1,1,1,11880.0,14000.0,2120.0,1007.8
-35,20,5,5,2,11152.0,12464.0,1312.0,1101.2
-35,24,3,3,1,10400.0,11680.0,1280.0,1101.2
-35,26,6,6,4,11184.0,11744.0,560.0,1101.2
-35,27,1,1,1,10512.0,11320.0,808.0,1007.8
-35,28,1,1,1,10512.0,11256.0,744.0,1007.8
-35,29,6,6,2,11032.0,11680.0,648.0,1007.8
-35,30,2,2,1,10432.0,11480.0,1048.0,1007.8
-35,-45,2,2,2,11704.0,12248.0,544.0,1007.8
-35,-43,3,3,2,10728.0,11264.0,536.0,1101.2
-35,-42,4,4,4,10800.0,12072.0,1272.0,1007.8
-35,-41,1,1,1,10992.0,12352.0,1360.0,712.9
-35,-39,1,1,1,12728.0,15000.0,2272.0,1007.8
-35,-30,12,13,5,17512.0,19664.0,2152.0,867.1
-35,-29,12,12,5,16216.0,18664.0,2448.0,867.1
-35,-28,13,13,5,15824.0,17240.0,1416.0,867.1
-35,-25,1,1,1,15640.0,16712.0,1072.0,456.5
-35,-24,11,11,9,14976.0,16920.0,1944.0,915.9
-35,-23,25,25,8,14712.0,16528.0,1816.0,915.9
-35,-22,23,23,14,14440.0,16072.0,1632.0,915.9
-35,-21,21,21,10,14168.0,15728.0,1560.0,1326.5
-35,-20,21,22,10,14456.0,17384.0,2928.0,1326.5
-35,-19,16,16,6,15832.0,17336.0,1504.0,915.9
-35,-18,6,6,4,14552.0,16392.0,1840.0,1101.2
-35,-17,4,4,4,13032.0,15248.0,2216.0,1101.2
-35,-15,3,3,2,11336.0,12568.0,1232.0,1101.2
-35,-13,3,3,3,9624.0,10648.0,1024.0,1101.2
-35,-12,2,2,2,9528.0,10240.0,712.0,1101.2
-35,-11,10,10,7,9504.0,10648.0,1144.0,915.9
-35,-10,26,26,12,9416.0,11456.0,2040.0,1101.2
-35,-9,18,18,12,9880.0,12848.0,2968.0,915.9
-35,-8,28,28,11,11728.0,13704.0,1976.0,915.9
-35,-7,6,6,5,13072.0,13600.0,528.0,1101.2
-35,-5,2,2,1,14176.0,15568.0,1392.0,835.0
-35,-4,1,1,1,14704.0,15808.0,1104.0,1101.2
-35,-3,8,8,5,14080.0,15360.0,1280.0,1101.2
-35,-2,5,5,3,12560.0,14936.0,2376.0,1101.2
-35,-1,1,1,1,11712.0,13208.0,1496.0,835.0
-34,0,5,5,3,11056.0,12608.0,1552.0,1007.8
-34,1,3,3,2,10320.0,11624.0,1304.0,1101.2
-34,2,3,3,3,10320.0,11624.0,1304.0,1101.2
-34,3,11,11,6,10696.0,12264.0,1568.0,1101.2
-34,4,10,10,8,10912.0,12672.0,1760.0,1101.2
-34,5,24,24,10,11272.0,13224.0,1952.0,1101.2
-34,6,48,48,12,11328.0,13128.0,1800.0,915.9
-34,7,6,6,5,10792.0,12272.0,1480.0,1101.2
-34,8,6,6,4,10784.0,13280.0,2496.0,1101.2
-34,9,4,4,3,11560.0,13704.0,2144.0,1101.2
-34,10,4,4,3,12024.0,14200.0,2176.0,1101.2
-34,11,2,2,2,13656.0,16136.0,2480.0,1007.8
-34,12,2,2,2,15424.0,18040.0,2616.0,1101.2
-34,15,7,7,6,18952.0,20800.0,1848.0,1101.2
-34,16,30,30,11,17248.0,19600.0,2352.0,915.9
-34,17,9,9,4,14992.0,18344.0,3352.0,1007.8
-34,18,3,3,3,13008.0,15496.0,2488.0,1101.2
-34,19,7,7,3,12256.0,13552.0,1296.0,1007.8
-34,20,4,4,4,11520.0,12752.0,1232.0,1101.2
-34,21,2,2,2,10248.0,12568.0,2320.0,1007.8
-34,22,2,2,2,9872.0,10632.0,760.0,1101.2
-34,24,1,1,1,9936.0,11088.0,1152.0,1007.8
-34,25,3,3,2,10536.0,11480.0,944.0,835.0
-34,26,1,1,1,10720.0,11648.0,928.0,1007.8
-34,27,7,7,3,10160.0,11208.0,1048.0,1101.2
-34,28,1,1,1,10152.0,11256.0,1104.0,835.0
-34,30,4,4,3,10536.0,11472.0,936.0,1101.2
-34,-45,2,2,2,11296.0,12024.0,728.0,915.9
-34,-44,4,4,4,11008.0,11920.0,912.0,1101.2
-34,-43,1,1,1,10480.0,11304.0,824.0,1101.2
-34,-42,3,3,3,10424.0,11112.0,688.0,781.0
-34,-41,5,5,4,10632.0,12240.0,1608.0,915.9
-34,-40,6,6,4,11920.0,14008.0,2088.0,1101.2
-34,-39,6,6,6,13000.0,15160.0,2160.0,1101.2
-34,-35,3,3,2,16800.0,19552.0,2752.0,456.5
-34,-34,12,12,5,18840.0,20672.0,1832.0,867.1
-34,-33,6,6,4,18952.0,20800.0,1848.0,867.1
-34,-31,3,4,2,16656.0,20080.0,3424.0,743.6
-34,-30,13,13,5,16128.0,18056.0,1928.0,867.1
-34,-29,13,13,5,15472.0,17528.0,2056.0,867.1
-34,-28,19,20,5,15368.0,16536.0,1168.0,867.1
-34,-27,18,19,5,15520.0,17280.0,1760.0,867.1
-34,-26,33,39,2,15280.0,17296.0,2016.0,456.5
-34,-25,20,25,2,15072.0,16856.0,1784.0,456.5
-34,-24,31,33,11,14288.0,16664.0,2376.0,1326.5
-34,-23,39,39,16,14480.0,15304.0,824.0,1326.5
-34,-22,51,53,15,12880.0,15288.0,2408.0,1326.5
-34,-21,21,21,15,13376.0,15328.0,1952.0,1007.8
-34,-20,18,18,6,14552.0,16472.0,1920.0,915.9
-34,-19,18,18,8,15360.0,16664.0,1304.0,915.9
-34,-18,14,14,8,14480.0,16216.0,1736.0,915.9
-34,-17,13,13,6,14224.0,15128.0,904.0,915.9
-34,-16,11,11,7,12488.0,15128.0,2640.0,1101.2
-34,-15,4,4,3,11448.0,13240.0,1792.0,1007.8
-34,-14,6,6,4,10528.0,12088.0,1560.0,1101.2
-34,-13,3,3,3,9216.0,10856.0,1640.0,1007.8
-34,-12,2,2,2,8808.0,9904.0,1096.0,915.9
-34,-11,20,20,10,8728.0,9944.0,1216.0,915.9
-34,-10,4,4,3,9104.0,10656.0,1552.0,915.9
-34,-9,7,7,6,9856.0,12136.0,2280.0,781.0
-34,-8,13,13,7,11632.0,13072.0,1440.0,915.9
-34,-7,19,19,7,12264.0,13992.0,1728.0,915.9
-34,-6,6,6,3,13568.0,14984.0,1416.0,915.9
-34,-5,4,4,3,14336.0,15728.0,1392.0,915.9
-34,-4,4,4,3,15360.0,16368.0,1008.0,1101.2
-34,-3,18,18,9,14432.0,15712.0,1280.0,915.9
-34,-2,21,21,12,13208.0,15344.0,2136.0,915.9
-34,-1,16,16,6,11800.0,14840.0,3040.0,915.9
-33,0,30,31,12,9656.0,13016.0,3360.0,915.9
-33,1,12,12,8,9432.0,11400.0,1968.0,915.9
-33,2,14,14,10,9352.0,10752.0,1400.0,1007.8
-33,3,20,20,10,9704.0,11032.0,1328.0,915.9
-33,4,19,19,9,9504.0,11816.0,2312.0,915.9
-33,5,12,12,8,10064.0,11840.0,1776.0,915.9
-33,6,7,7,7,9696.0,11616.0,1920.0,915.9
-33,7,24,24,12,9872.0,11576.0,1704.0,1101.2
-33,8,6,6,4,9968.0,11560.0,1592.0,1101.2
-33,9,4,5,2,10544.0,12024.0,1480.0,1101.2
-33,10,4,4,3,11752.0,13752.0,2000.0,1101.2
-33,11,1,2,1,12952.0,16064.0,3112.0,712.9
-33,12,4,4,3,15768.0,18360.0,2592.0,1007.8
-33,13,3,3,2,17712.0,19496.0,1784.0,1101.2
-33,14,4,5,3,18528.0,20680.0,2152.0,1101.2
-33,15,13,14,7,17304.0,20696.0,3392.0,867.1
-33,16,20,20,12,15984.0,19568.0,3584.0,915.9
-33,17,38,38,12,14904.0,18136.0,3232.0,915.9
-33,18,26,26,11,12944.0,16144.0,3200.0,915.9
-33,19,3,3,3,11792.0,13584.0,1792.0,1007.8
-33,20,5,5,2,11048.0,12704.0,1656.0,1101.2
-33,21,6,6,4,9872.0,12528.0,2656.0,1101.2
-33,22,1,1,1,9600.0,10600.0,1000.0,1101.2
-33,24,4,4,4,9552.0,10560.0,1008.0,1101.2
-33,25,6,6,3,10016.0,10976.0,960.0,1101.2
-33,26,3,3,1,10248.0,10976.0,728.0,1007.8
-33,27,2,2,2,10008.0,10800.0,792.0,1101.2
-33,28,2,2,2,10016.0,10928.0,912.0,1101.2
-33,29,2,2,2,10704.0,11704.0,1000.0,1101.2
-33,30,1,1,1,11208.0,11752.0,544.0,712.9
-33,31,3,3,3,11120.0,12656.0,1536.0,1101.2
-33,-46,2,2,2,11072.0,11560.0,488.0,1007.8
-33,-45,8,8,6,10856.0,11552.0,696.0,835.0
-33,-44,7,7,5,10856.0,11600.0,744.0,1007.8
-33,-43,5,5,5,10304.0,11304.0,1000.0,1101.2
-33,-42,1,1,1,10200.0,10632.0,432.0,1101.2
-33,-41,2,2,2,10256.0,11920.0,1664.0,1007.8
-33,-40,4,4,4,11096.0,13000.0,1904.0,1007.8
-33,-39,2,2,2,11712.0,14496.0,2784.0,1101.2
-33,-36,1,2,1,13896.0,17136.0,3240.0,456.5
-33,-35,9,10,4,15376.0,19200.0,3824.0,867.1
-33,-34,12,12,5,16672.0,19264.0,2592.0,867.1
-33,-33,7,8,4,17456.0,20576.0,3120.0,867.1
-33,-32,23,27,2,17088.0,20576.0,3488.0,456.5
-33,-31,18,21,2,16568.0,18848.0,2280.0,456.5
-33,-30,16,18,2,15200.0,16704.0,1504.0,456.5
-33,-29,24,26,3,13328.0,16128.0,2800.0,867.1
-33,-28,17,18,2,12696.0,15544.0,2848.0,456.5
-33,-27,7,9,2,12888.0,16376.0,3488.0,456.5
-33,-26,15,16,2,14168.0,16368.0,2200.0,456.5
-33,-25,21,21,4,14728.0,15296.0,568.0,867.1
-33,-24,18,19,2,14048.0,15376.0,1328.0,456.5
-33,-23,20,22,2,13432.0,15176.0,1744.0,456.5
-33,-22,21,22,9,12632.0,14480.0,1848.0,1007.8
-33,-21,13,14,9,13200.0,15304.0,2104.0,1101.2
-33,-20,37,38,16,14576.0,16256.0,1680.0,1326.5
-33,-19,20,20,13,14192.0,16256.0,2064.0,1326.5
-33,-18,22,22,12,13656.0,15360.0,1704.0,1326.5
-33,-17,24,24,9,13152.0,14872.0,1720.0,1326.5
-33,-16,21,21,8,12288.0,14960.0,2672.0,915.9
-33,-15,7,8,6,10648.0,12880.0,2232.0,1326.5
-33,-14,21,21,7,10144.0,11472.0,1328.0,915.9
-33,-13,20,20,8,8664.0,10888.0,2224.0,1101.2
-33,-12,28,28,8,8368.0,9216.0,848.0,915.9
-33,-11,17,17,11,8352.0,9656.0,1304.0,915.9
-33,-10,5,6,3,8616.0,10800.0,2184.0,915.9
-33,-9,19,19,10,9960.0,12016.0,2056.0,915.9
-33,-8,26,26,13,10416.0,12288.0,1872.0,915.9
-33,-7,20,20,11,11472.0,13880.0,2408.0,915.9
-33,-6,17,17,10,13520.0,15576.0,2056.0,915.9
-33,-5,19,20,10,14984.0,16040.0,1056.0,915.9
-33,-4,15,15,9,15192.0,15976.0,784.0,915.9
-33,-3,21,21,11,14544.0,15656.0,1112.0,915.9
-33,-2,20,21,11,13152.0,15104.0,1952.0,915.9
-33,-1,24,24,8,11376.0,14176.0,2800.0,915.9
-32,0,12,12,7,9088.0,11376.0,2288.0,915.9
-32,1,15,15,8,8696.0,9656.0,960.0,915.9
-32,2,13,13,8,8624.0,9848.0,1224.0,915.9
-32,3,13,13,7,8760.0,9928.0,1168.0,915.9
-32,4,19,19,11,8688.0,10064.0,1376.0,915.9
-32,5,14,14,8,8600.0,10352.0,1752.0,915.9
-32,6,21,21,11,8704.0,10104.0,1400.0,915.9
-32,7,9,9,6,8920.0,10040.0,1120.0,915.9
-32,8,16,16,8,9208.0,10624.0,1416.0,835.0
-32,13,6,7,3,16848.0,19296.0,2448.0,1101.2
-32,14,5,5,3,16504.0,19344.0,2840.0,1101.2
-32,15,9,9,5,15200.0,18528.0,3328.0,1007.8
-32,16,7,7,6,13416.0,17304.0,3888.0,1007.8
-32,18,10,10,8,11592.0,14904.0,3312.0,835.0
-32,19,27,28,11,11560.0,13712.0,2152.0,915.9
-32,20,35,35,14,10856.0,12984.0,2128.0,915.9
-32,21,4,4,3,9848.0,11160.0,1312.0,1101.2
-32,22,1,1,1,9248.0,10040.0,792.0,1007.8
-32,23,1,2,1,9168.0,9600.0,432.0,712.9
-32,24,6,6,3,9296.0,10024.0,728.0,1101.2
-32,25,25,25,10,9648.0,10440.0,792.0,915.9
-32,26,15,15,9,9896.0,10640.0,744.0,1007.8
-32,27,22,22,12,9656.0,10600.0,944.0,1101.2
-32,28,26,26,13,9752.0,10800.0,1048.0,1101.2
-32,29,27,27,10,10512.0,11648.0,1136.0,915.9
-32,30,4,4,2,11200.0,12136.0,936.0,835.0
-32,31,1,1,1,11552.0,13152.0,1600.0,1101.2
-32,32,2,2,2,11664.0,12952.0,1288.0,1101.2
-32,-46,2,3,2,11000.0,11696.0,696.0,781.0
-32,-45,1,1,1,10656.0,11424.0,768.0,1101.2
-32,-44,1,2,1,10448.0,11072.0,624.0,581.9
-32,-43,5,5,4,10112.0,10976.0,864.0,1007.8
-32,-42,3,3,3,9912.0,10416.0,504.0,1101.2
-32,-41,6,6,5,9920.0,11064.0,1144.0,1101.2
-32,-40,7,7,6,10272.0,11840.0,1568.0,1007.8
-32,-39,11,12,6,11208.0,13144.0,1936.0,867.1
-32,-38,1,1,1,11120.0,13216.0,2096.0,743.6
-32,-36,17,17,5,13128.0,15376.0,2248.0,867.1
-32,-35,23,23,5,14064.0,16672.0,2608.0,867.1
-32,-34,17,17,5,15040.0,17704.0,2664.0,867.1
-32,-33,22,24,3,14992.0,17680.0,2688.0,743.6
-32,-32,14,15,3,15616.0,17536.0,1920.0,477.4
-32,-31,15,18,2,15816.0,17096.0,1280.0,456.5
-32,-30,37,39,2,14320.0,16568.0,2248.0,456.5
-32,-29,47,48,2,12696.0,15200.0,2504.0,456.5
-32,-28,6,6,2,12432.0,13328.0,896.0,456.5
-32,-27,7,9,2,12784.0,14944.0,2160.0,456.5
-32,-26,20,21,2,14152.0,14984.0,832.0,456.5
-32,-25,17,17,2,13704.0,15184.0,1480.0,456.5
-32,-24,36,37,2,13272.0,14912.0,1640.0,456.5
-32,-23,30,36,4,12776.0,14616.0,1840.0,867.1
-32,-22,21,22,9,11760.0,13808.0,2048.0,1007.8
-32,-21,35,37,12,12048.0,14576.0,2528.0,1007.8
-32,-20,45,47,13,13448.0,15640.0,2192.0,1101.2
-32,-19,14,14,7,11992.0,15664.0,3672.0,915.9
-32,-18,12,13,6,12104.0,14336.0,2232.0,915.9
-32,-17,20,20,8,11080.0,13952.0,2872.0,915.9
-32,-16,47,47,13,10648.0,13152.0,2504.0,1326.5
-32,-15,20,21,5,10360.0,12288.0,1928.0,915.9
-32,-14,32,32,10,8800.0,10776.0,1976.0,915.9
-32,-13,15,16,9,8072.0,10424.0,2352.0,915.9
-32,-12,27,27,10,7960.0,8632.0,672.0,915.9
-32,-11,18,18,7,8232.0,8848.0,616.0,1326.5
-32,-10,15,15,7,8600.0,10032.0,1432.0,915.9
-32,-9,8,8,6,9696.0,10536.0,840.0,915.9
-32,-8,7,7,6,10376.0,12200.0,1824.0,915.9
-32,-7,12,12,7,11312.0,13560.0,2248.0,915.9
-32,-6,5,5,2,12936.0,15416.0,2480.0,835.0
-32,-5,14,14,10,14824.0,16024.0,1200.0,915.9
-32,-4,14,14,7,14400.0,15936.0,1536.0,915.9
-32,-3,17,17,9,13792.0,15312.0,1520.0,915.9
-32,-2,5,6,4,12088.0,14544.0,2456.0,915.9
-32,-1,10,10,9,10560.0,13152.0,2592.0,867.1
-31,0,22,23,8,8864.0,10560.0,1696.0,915.9
-31,1,13,13,8,7840.0,9264.0,1424.0,915.9
-31,2,21,21,10,7712.0,8880.0,1168.0,915.9
-31,3,16,16,7,7736.0,9128.0,1392.0,915.9
-31,4,14,14,8,7760.0,9128.0,1368.0,915.9
-31,5,8,8,7,7816.0,8824.0,1008.0,915.9
-31,6,8,8,6,7968.0,8920.0,952.0,915.9
-31,7,6,6,5,8344.0,9344.0,1000.0,1326.5
-31,8,1,2,1,9104.0,10696.0,1592.0,712.9
-31,10,17,17,7,11416.0,13736.0,2320.0,915.9
-31,11,20,20,11,13032.0,15136.0,2104.0,915.9
-31,12,5,6,4,14112.0,17144.0,3032.0,1007.8
-31,13,4,5,3,13792.0,17648.0,3856.0,915.9
-31,14,8,8,7,13136.0,17552.0,4416.0,1101.2
-31,15,14,14,7,12688.0,16504.0,3816.0,1101.2
-31,16,35,35,11,13000.0,15200.0,2200.0,915.9
-31,17,5,5,5,11336.0,13416.0,2080.0,1101.2
-31,18,9,9,5,10448.0,12248.0,1800.0,915.9
-31,19,9,9,7,10048.0,11984.0,1936.0,1326.5
-31,20,34,34,12,9728.0,12072.0,2344.0,915.9
-31,21,32,32,11,9640.0,11336.0,1696.0,915.9
-31,22,9,9,8,9016.0,10064.0,1048.0,1101.2
-31,23,5,5,3,8792.0,9560.0,768.0,1007.8
-31,24,5,5,2,8816.0,9688.0,872.0,1007.8
-31,25,21,21,10,9336.0,10064.0,728.0,1101.2
-31,26,20,20,12,9488.0,10280.0,792.0,1101.2
-31,27,21,21,10,9168.0,10208.0,1040.0,1101.2
-31,28,15,15,8,9232.0,10528.0,1296.0,915.9
-31,29,20,20,10,10136.0,11320.0,1184.0,915.9
-31,30,20,20,11,10624.0,12448.0,1824.0,1101.2
-31,31,25,25,11,12048.0,13560.0,1512.0,1101.2
-31,32,11,11,5,12720.0,14216.0,1496.0,915.9
-31,-47,5,5,4,11240.0,12480.0,1240.0,1101.2
-31,-46,6,6,5,11416.0,13080.0,1664.0,1101.2
-31,-45,6,6,4,10656.0,12920.0,2264.0,1007.8
-31,-44,4,4,3,10400.0,11304.0,904.0,835.0
-31,-43,4,5,2,10016.0,10488.0,472.0,1007.8
-31,-42,3,4,2,9776.0,10168.0,392.0,781.0
-31,-41,13,13,7,9688.0,10280.0,592.0,867.1
-31,-40,17,17,4,9704.0,11464.0,1760.0,867.1
-31,-39,14,14,5,9864.0,11528.0,1664.0,867.1
-31,-38,12,12,5,9976.0,11376.0,1400.0,867.1
-31,-37,15,15,5,10120.0,13128.0,3008.0,867.1
-31,-36,21,22,5,11456.0,14096.0,2640.0,867.1
-31,-35,5,6,3,12136.0,15280.0,3144.0,743.6
-31,-34,17,19,3,12440.0,15248.0,2808.0,743.6
-31,-33,11,13,3,14216.0,15800.0,1584.0,867.1
-31,-32,18,18,3,14280.0,16656.0,2376.0,477.4
-31,-31,17,21,2,13344.0,16672.0,3328.0,456.5
-31,-30,30,33,2,12720.0,15816.0,3096.0,456.5
-31,-29,20,21,2,12384.0,14408.0,2024.0,456.5
-31,-28,7,7,2,12432.0,13776.0,1344.0,456.5
-31,-27,8,9,2,12728.0,14896.0,2168.0,456.5
-31,-26,26,27,2,13616.0,14960.0,1344.0,456.5
-31,-25,30,31,2,13464.0,15136.0,1672.0,456.5
-31,-24,49,49,2,13096.0,13704.0,608.0,456.5
-31,-23,22,26,2,12440.0,13864.0,1424.0,456.5
-31,-22,22,23,4,10944.0,12904.0,1960.0,867.1
-31,-21,37,40,11,10936.0,13656.0,2720.0,1326.5
-31,-20,41,44,13,11960.0,13928.0,1968.0,1326.5
-31,-19,31,33,13,10104.0,13448.0,3344.0,1007.8
-31,-18,31,33,10,9992.0,12696.0,2704.0,1101.2
-31,-17,16,16,5,10024.0,12120.0,2096.0,867.1
-31,-16,9,9,5,9464.0,11368.0,1904.0,867.1
-31,-15,22,22,10,10000.0,11576.0,1576.0,1101.2
-31,-14,20,21,6,8560.0,10704.0,2144.0,1101.2
-31,-13,13,13,7,7856.0,8800.0,944.0,1326.5
-31,-12,28,28,11,7408.0,8232.0,824.0,1326.5
-31,-11,21,21,9,7528.0,9136.0,1608.0,915.9
-31,-10,9,9,6,8136.0,9880.0,1744.0,1326.5
-31,-9,27,27,11,9592.0,10712.0,1120.0,915.9
-31,-8,10,11,7,9768.0,12304.0,2536.0,835.0
-31,-7,3,3,3,11920.0,13448.0,1528.0,835.0
-31,-6,19,20,11,12704.0,15368.0,2664.0,915.9
-31,-5,1,2,1,13024.0,15648.0,2624.0,712.9
-31,-4,21,21,7,13472.0,15280.0,1808.0,915.9
-31,-3,20,20,11,12952.0,14464.0,1512.0,1326.5
-31,-2,1,2,1,10288.0,13904.0,3616.0,712.9
-31,-1,12,12,7,8888.0,12200.0,3312.0,1326.5
-30,0,11,11,5,8176.0,9936.0,1760.0,915.9
-30,1,15,15,6,7488.0,8912.0,1424.0,1326.5
-30,2,13,13,8,7080.0,7904.0,824.0,915.9
-30,3,16,16,8,6984.0,7960.0,976.0,915.9
-30,4,26,26,12,6872.0,8048.0,1176.0,915.9
-30,5,24,24,12,6880.0,8048.0,1168.0,915.9
-30,6,23,24,11,7264.0,8512.0,1248.0,1326.5
-30,7,34,34,11,8312.0,9800.0,1488.0,915.9
-30,8,4,4,2,9304.0,12016.0,2712.0,915.9
