# ref base type part cellX cellY x y z rx ry rz scale tris bminx bminy bminz bmaxx bmaxy bmaxz model
0x001F7AA1 0x0003A650 STAT -1 5 -11 21016.859 -44629.090 2479.333 0.000000 0.000000 0.300002 1.0000 6572 20910.504 -44780.188 2421.958 21128.090 -44494.754 2536.520 SetDressing\Tires\TirePile02.nif
0x001F7AA0 0x0003A64E STAT -1 5 -11 20802.230 -44649.063 2459.961 0.000000 0.000000 5.923185 1.0000 7590 20673.184 -44824.750 2397.274 20918.865 -44468.996 2522.649 SetDressing\Tires\TirePile01.nif
0x001F7A9E 0x0003A650 STAT -1 5 -11 20905.811 -44584.926 2467.521 0.086354 0.122129 4.422237 1.0000 6572 20761.844 -44671.875 2404.642 21042.281 -44479.098 2527.076 SetDressing\Tires\TirePile02.nif
0x001F7A9D 0x00064136 STAT -1 5 -11 20648.871 -43141.926 2008.025 0.303483 0.010189 3.690072 0.8800 3948 20268.518 -43472.527 1815.963 21032.561 -42842.707 2075.361 Landscape\Roads\HighwayOverpass\HWSingleChunkSmall01.nif
0x001F7A9C 0x00064139 STAT -1 5 -11 20740.326 -42912.230 1916.133 0.204788 -0.041649 3.779917 0.8900 3827 20515.164 -43196.590 1778.410 20979.283 -42623.746 1981.752 Landscape\Roads\HighwayOverpass\HWSingleChunkSmall02.nif
0x001F7A8E 0x0006F99A STAT -1 5 -11 20631.635 -43825.629 2183.929 0.303490 0.041980 1.543816 1.0000 8194 20140.064 -44551.570 1894.730 21176.006 -43119.363 2435.225 Landscape\Roads\HighwayOverpass\HWDoubleChunkLargeTop03.nif
0x001D34A6 0x0019B427 STAT -1 5 -11 24230.520 -43017.887 652.276 -0.098103 -0.031552 2.101499 1.0000 12610 23990.543 -43339.184 627.642 24416.676 -42799.230 768.327 Vehicles\Automotive\Sedan01_Postwar_Static.nif
0x001D34A5 0x001B2DBB MSTT -1 5 -11 23900.635 -42093.387 675.443 0.039690 -0.042993 5.304864 1.0000 9060 23716.619 -42305.121 662.500 24124.594 -41815.051 786.347 Vehicles\Automotive\Coupe03_Postwar.nif
0x001D1749 0x0006B13F STAT -1 5 -11 23372.451 -45044.465 506.384 -0.072192 0.062196 4.552385 0.9400 2322 23228.059 -45199.477 485.210 23428.908 -44996.203 1261.633 SetDressing\TelephonePoleSet\TP_Quad.nif
0x001CD14F 0x0001D1AF STAT -1 5 -11 21876.934 -44832.707 1053.448 0.000000 0.000000 4.512389 1.0000 238 21790.602 -44950.152 1053.448 21941.518 -44730.305 1056.434 SetDressing\Rubble\TrashDecal03.nif
0x001CD14E 0x0001D184 STAT -1 5 -11 21877.559 -44573.734 1053.448 0.000000 0.000000 4.712389 1.0000 111 21799.684 -44678.047 1053.448 21955.434 -44469.422 1057.487 SetDressing\Rubble\TrashDecal01.nif
0x001CD14D 0x0001D1AF STAT -1 5 -11 22747.773 -44260.613 1063.354 0.000000 0.000000 5.292388 1.3800 238 22601.904 -44407.684 1063.354 22886.605 -44140.785 1067.476 SetDressing\Rubble\TrashDecal03.nif
0x001CD14C 0x0001D1AF STAT -1 5 -11 22535.844 -44235.598 1063.354 0.000000 0.000000 4.262388 1.3800 238 22407.867 -44381.434 1063.354 22643.813 -44084.945 1067.476 SetDressing\Rubble\TrashDecal03.nif
0x001CD14B 0x0001D18E STAT -1 5 -11 22575.123 -43949.379 1063.354 0.000000 0.000000 3.712385 1.0000 157 22462.289 -44063.172 1063.354 22693.768 -43820.273 1067.394 SetDressing\Rubble\TrashDecal02.nif
0x001CD14A 0x0001D184 STAT -1 5 -11 22895.529 -44144.387 1063.354 0.000000 0.000000 4.712389 1.0000 111 22817.654 -44248.699 1063.354 22973.404 -44040.074 1067.394 SetDressing\Rubble\TrashDecal01.nif
0x001CD149 0x0001825F STAT -1 5 -11 22340.910 -44208.703 1048.683 0.000000 0.000000 5.302389 0.8100 212 22312.068 -44338.305 1048.683 22470.139 -44208.703 1240.653 Architecture\Roof\RoofChimenyStacks01.nif
0x001CD148 0x00133866 STAT -1 5 -11 21572.998 -44392.090 574.677 -0.124344 -0.061938 4.372388 0.7800 6757 21297.021 -44618.137 497.448 21865.555 -44074.719 713.110 Landscape\Plants\ShrubGroupLarge05.nif
0x001CD147 0x00133868 STAT -1 5 -11 21293.045 -44797.863 573.811 -0.062411 -0.062298 4.472389 0.7800 4432 21128.568 -45072.934 501.678 21468.066 -44525.520 688.138 Landscape\Plants\ShrubGroupMedium03.nif
0x001CD146 0x00133868 STAT -1 5 -11 21506.105 -43874.055 649.870 -0.062411 0.000000 3.222385 0.7800 4432 21245.227 -44070.879 576.615 21768.715 -43709.434 771.753 Landscape\Plants\ShrubGroupMedium03.nif
0x001CD145 0x0002CD28 STAT -1 5 -11 21378.449 -44109.418 603.858 0.000000 0.000000 5.403185 1.0000 863 21312.479 -44177.695 601.460 21440.508 -44042.297 648.764 SetDressing\Building\BathtubBroken01.nif
0x001CD144 0x001BBFC6 STAT -1 5 -11 21421.297 -44235.707 603.706 -0.063504 -0.323516 5.328741 1.0000 3565 21233.824 -44477.328 532.725 21540.707 -44087.828 646.457 Vehicles\Automotive\CarFrame04.nif
0x001CD143 0x001BBFC6 STAT -1 5 -11 21129.904 -44052.848 674.752 -0.220000 0.000000 0.000000 1.0000 3565 20873.404 -44119.207 617.279 21267.279 -43973.129 688.385 Vehicles\Automotive\CarFrame04.nif
0x001CD142 0x000913F6 CONT -1 5 -11 21108.400 -44268.504 591.863 0.510300 -0.404742 1.013066 1.0000 1451 21068.998 -44300.383 565.513 21182.566 -44196.258 678.661 SetDressing\PlayerHouse_Ruin\PlayerHouse_Ruin_Washer01.nif
0x001CD141 0x0003A64E STAT -1 5 -11 20901.836 -44309.047 622.685 -0.062411 0.000000 6.002389 1.0100 7590 20780.082 -44487.984 556.898 21009.928 -44124.645 682.719 SetDressing\Tires\TirePile01.nif
0x001CD140 0x00134442 STAT -1 5 -11 22343.303 -44491.777 530.751 0.000000 0.000000 3.708581 1.0000 682 22261.129 -44535.469 539.587 22446.088 -44419.574 772.251 SetDressing\Greebs\WallGreeb1x1_01.nif
0x001CD13F 0x0016628C CONT -1 5 -11 22067.340 -44413.633 596.045 -0.159912 0.005318 3.174556 1.0000 712 21971.377 -44420.563 511.549 22167.570 -44279.539 601.114 SetDressing\TrashBin\TrashBin01.nif
0x001CD13E 0x000BF83B STAT -1 5 -11 22608.307 -44641.457 615.610 0.000000 0.000000 3.708582 1.0000 2 22554.164 -44675.934 549.172 22662.449 -44606.980 682.047 SetDressing\Signage\GenericPosterGroup02.nif
0x001CD13D 0x001343D4 STAT -1 5 -11 22584.256 -44645.199 725.448 0.000000 0.000000 3.708581 1.0000 104 22577.287 -44662.914 783.729 22625.635 -44616.035 1180.948 SetDressing\Greebs\WallGreeb2x1_01.nif
0x001CD13C 0x000047E1 STAT -1 5 -11 22729.258 -44441.500 1063.354 0.000000 0.000000 4.712389 1.0000 210 22718.359 -44514.875 1063.354 22753.883 -44352.188 1225.979 SetDressing\Greebs\DiamondGreebAntenna04.nif
0x001CD13B 0x000047DE STAT -1 5 -11 22615.389 -44743.047 1317.448 0.000000 0.000000 4.712389 1.0000 81 22591.154 -44843.922 1317.448 22639.779 -44682.859 1536.073 SetDressing\Greebs\DiamondGreebAntenna01.nif
0x001CD13A 0x0001D1AF STAT -1 5 -11 22367.939 -44750.816 1317.448 0.000000 0.000000 1.509203 1.0000 238 22298.674 -44846.695 1317.448 22448.377 -44629.965 1320.434 SetDressing\Rubble\TrashDecal03.nif
0x001CD139 0x0001D18E STAT -1 5 -11 22499.328 -44882.691 1317.448 0.000000 0.000000 0.579203 1.0000 157 22380.184 -45011.699 1317.448 22612.693 -44769.195 1321.487 SetDressing\Rubble\TrashDecal02.nif
0x001CD138 0x0001D184 STAT -1 5 -11 22215.922 -44918.375 1317.448 0.000000 0.000000 6.082389 1.0000 111 22098.174 -44988.297 1317.448 22320.402 -44837.340 1321.487 SetDressing\Rubble\TrashDecal01.nif
0x001CD137 0x00154E59 STAT -1 5 -11 22242.621 -45013.977 1271.364 0.000000 0.000000 3.682387 1.0000 184 22169.834 -45070.320 1271.364 22323.652 -44943.902 1585.364 Architecture\Buildings\DecoKit\DecoMainBAddChimneyATop01.nif
0x001CD136 0x001AC903 STAT -1 5 -11 22248.188 -44692.992 1317.448 0.000000 0.000000 3.695985 0.4300 1448 22167.891 -44776.102 1317.415 22320.707 -44622.844 1439.138 SetDressing\Greebs\GreebLarge09.nif
0x001CD135 0x001AC902 STAT -1 5 -11 22292.551 -44621.344 1317.448 0.000000 0.000000 3.695985 0.6300 294 22195.875 -44709.836 1317.299 22389.227 -44532.852 1440.219 SetDressing\Greebs\GreebLarge08.nif
0x001CD134 0x001AC902 STAT -1 5 -11 22490.713 -44743.277 1317.448 0.000000 0.000000 5.255988 0.5300 294 22416.629 -44824.563 1317.323 22564.797 -44661.992 1420.732 SetDressing\Greebs\GreebLarge08.nif
0x001CD133 0x00096FC8 STAT -1 5 -11 22064.316 -44731.398 1053.448 0.000000 0.000000 4.755778 1.0000 2 21797.453 -44998.262 1053.448 22331.180 -44464.535 1053.448 Architecture\Buildings\DecoKit\DecoRoof2x2Str01.nif
0x001CD132 0x000BFE81 STAT -1 5 -11 22331.180 -44486.742 765.448 0.000000 0.000000 3.184983 1.0000 196 22075.420 -44744.410 1021.448 22369.545 -44431.680 1071.448 Architecture\Buildings\DecoKit\DecoLobbyCTrim1x1Cor01.nif
0x001CD131 0x0009C45E STAT -1 5 -11 22603.545 -44808.996 525.448 0.000000 0.000000 5.279377 1.0000 4 22548.293 -44925.559 525.448 22686.461 -44708.563 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win06.nif
0x001CD130 0x0009C45E STAT -1 5 -11 22603.545 -44808.996 781.448 0.000000 0.000000 5.279377 1.0000 4 22548.293 -44925.559 781.448 22686.461 -44708.563 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win06.nif
0x001CD12F 0x00031855 STAT -1 5 -11 22672.293 -44701.027 781.448 0.000000 0.000000 3.708582 1.0000 24 22667.391 -44723.117 781.448 22697.758 -44677.711 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD12E 0x00031855 STAT -1 5 -11 21965.471 -44858.094 1037.448 0.000000 0.000000 0.566990 1.0000 24 21940.006 -44881.410 1037.448 21970.373 -44836.004 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD12D 0x0009C45E STAT -1 5 -11 22603.545 -44808.996 1037.448 0.000000 0.000000 5.279377 1.0000 4 22548.293 -44925.559 1037.448 22686.461 -44708.563 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win06.nif
0x001CD12C 0x000A6C11 STAT -1 5 -11 22202.943 -44489.203 525.448 0.000000 0.000000 3.184982 1.0000 6 22075.758 -44478.777 525.448 22331.643 -44467.668 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD12B 0x000A6C11 STAT -1 5 -11 22202.943 -44489.203 781.448 0.000000 0.000000 3.184982 1.0000 6 22075.758 -44478.777 781.448 22331.643 -44467.668 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD12A 0x000A6C11 STAT -1 5 -11 22034.219 -44750.121 1037.448 0.000000 0.000000 2.137785 1.0000 6 21951.975 -44849.500 1037.448 22089.537 -44633.453 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD129 0x00031854 STAT -1 5 -11 22171.715 -44534.180 1037.448 0.000000 0.000000 2.137785 1.0000 20 22088.799 -44634.613 1037.448 22226.967 -44417.617 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win04.nif
0x001CD128 0x00031853 STAT -1 5 -11 22171.715 -44534.180 781.448 0.000000 0.000000 2.137785 1.0000 2 22089.471 -44633.559 781.448 22226.967 -44417.617 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Wall01.nif
0x001CD127 0x00031853 STAT -1 5 -11 22171.715 -44534.180 525.448 0.000000 0.000000 2.137785 1.0000 2 22089.471 -44633.559 525.448 22226.967 -44417.617 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Wall01.nif
0x001CD126 0x00031855 STAT -1 5 -11 22240.463 -44426.207 525.448 0.000000 0.000000 2.137786 1.0000 24 22217.146 -44431.109 525.448 22262.553 -44400.742 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD125 0x00031855 STAT -1 5 -11 22240.463 -44426.207 781.448 0.000000 0.000000 2.137786 1.0000 24 22217.146 -44431.109 781.448 22262.553 -44400.742 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD124 0x00031855 STAT -1 5 -11 22240.463 -44426.207 1037.448 0.000000 0.000000 2.137786 1.0000 24 22217.146 -44431.109 1037.448 22262.553 -44400.742 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD123 0x000A6C11 STAT -1 5 -11 21947.193 -44478.078 525.448 0.000000 0.000000 3.184982 1.0000 6 21820.008 -44467.652 525.448 22075.893 -44456.543 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD122 0x000A6C11 STAT -1 5 -11 21947.193 -44478.078 781.448 0.000000 0.000000 3.184982 1.0000 6 21820.008 -44467.652 781.448 22075.893 -44456.543 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD121 0x0009C45D STAT -1 5 -11 21814.109 -44592.410 525.448 0.000000 0.000000 1.614186 1.0000 4 21792.518 -44720.844 525.448 21803.676 -44463.836 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win05.nif
0x001CD120 0x0009C45D STAT -1 5 -11 21814.109 -44592.410 781.448 0.000000 0.000000 1.614186 1.0000 4 21792.518 -44720.844 781.448 21803.676 -44463.836 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win05.nif
0x001CD11F 0x00031855 STAT -1 5 -11 21819.664 -44464.535 525.448 0.000000 0.000000 1.614186 1.0000 24 21799.162 -44479.824 525.448 21836.344 -44443.859 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD11E 0x00031855 STAT -1 5 -11 21819.664 -44464.535 781.448 0.000000 0.000000 1.614186 1.0000 24 21799.162 -44479.824 781.448 21836.344 -44443.859 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD11D 0x000C0183 STAT -1 5 -11 21819.660 -44464.531 765.448 0.000000 0.000000 1.614186 1.0000 82 21764.598 -44720.289 1021.448 22077.328 -44418.664 1071.448 Architecture\Buildings\DecoKit\DecoLobbyCTrim1x1Cor02.nif
0x001CD11C 0x000BFE61 STAT -1 5 -11 22181.092 -44992.707 765.448 0.000000 0.000000 0.043390 1.0000 36 22051.305 -45042.219 1021.448 22308.971 -44987.156 1071.448 Architecture\Buildings\DecoKit\DecoLobbyCTrim1x1Str01.nif
0x001CD11B 0x000C0183 STAT -1 5 -11 21797.453 -44976.051 765.448 0.000000 0.000000 0.043390 1.0000 82 21751.586 -45031.113 1021.448 22053.213 -44718.383 1071.448 Architecture\Buildings\DecoKit\DecoLobbyCTrim1x1Cor02.nif
0x001CD11A 0x00031855 STAT -1 5 -11 21797.453 -44976.051 525.448 0.000000 0.000000 0.043389 1.0000 24 21776.777 -44996.551 525.448 21812.744 -44959.371 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD119 0x00031855 STAT -1 5 -11 21797.453 -44976.051 781.448 0.000000 0.000000 0.043389 1.0000 24 21776.777 -44996.551 781.448 21812.744 -44959.371 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD118 0x0009C45D STAT -1 5 -11 22181.082 -44992.730 525.448 0.000000 0.000000 0.043389 1.0000 4 22052.508 -45014.320 525.448 22309.516 -45003.164 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win05.nif
0x001CD117 0x0009C45D STAT -1 5 -11 22181.082 -44992.730 781.448 0.000000 0.000000 0.043389 1.0000 4 22052.508 -45014.320 781.448 22309.516 -45003.164 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win05.nif
0x001CD116 0x000BFEA0 STAT -1 5 -11 22181.092 -44992.707 269.448 0.000000 0.000000 0.043389 1.0000 8 22051.824 -45030.230 269.448 22308.971 -44987.156 525.448 Architecture\Buildings\DecoKit\DecoBaseA1x1Wall01.nif
0x001CD115 0x000C018A STAT -1 5 -11 21797.453 -44976.051 269.448 0.000000 0.000000 0.043389 1.0000 12 21764.096 -45019.125 269.448 22053.213 -44718.902 525.448 Architecture\Buildings\DecoKit\DecoBaseA1x1Cor01.nif
0x001CD114 0x000A6C11 STAT -1 5 -11 21925.332 -44981.602 525.448 0.000000 0.000000 0.043389 1.0000 6 21796.633 -45003.137 525.448 22052.518 -44992.027 781.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD113 0x000A6C11 STAT -1 5 -11 21925.332 -44981.602 781.448 0.000000 0.000000 0.043389 1.0000 6 21796.633 -45003.137 781.448 22052.518 -44992.027 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD112 0x000A6C11 STAT -1 5 -11 22073.389 -44926.668 1037.448 0.000000 0.000000 0.566988 1.0000 6 21956.719 -45008.914 1037.448 22172.766 -44871.348 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win07.nif
0x001CD110 0x00117BA9 STAT -1 5 -11 22541.545 -44921.266 1037.448 0.000000 0.000000 5.279377 1.0000 195 22472.797 -45036.906 1037.448 22639.117 -44813.293 1293.448 Architecture\Buildings\DecoKit\DecoMainC1x1WinBayA01.nif
0x001CD10F 0x00031855 STAT -1 5 -11 22672.346 -44701.203 1037.448 0.000000 0.000000 3.708582 1.0000 24 22667.443 -44723.293 1037.448 22697.811 -44677.887 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Cor02.nif
0x001CD10E 0x000318E2 STAT -1 5 -11 22564.375 -44632.453 1037.448 0.000000 0.000000 3.708581 1.0000 4 22463.943 -44687.703 1037.448 22680.939 -44549.539 1293.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win03.nif
0x001CD10D 0x000318E6 STAT -1 5 -11 22348.434 -44494.957 781.448 0.000000 0.000000 3.708581 1.0000 4 22248.002 -44550.207 781.448 22464.998 -44412.043 1037.448 Architecture\Buildings\DecoKit\DecoMainA1x1Win02.nif
0x001CD103 0x0003AA4C STAT -1 5 -11 23237.949 -44093.832 548.857 0.000000 0.000000 3.783181 1.0000 168 23226.379 -44111.797 548.857 23253.887 -44089.625 688.732 SetDressing\Signage\RoadSigns\SignRoad_MPH25_02.nif
0x001CD102 0x001C90EE STAT -1 5 -11 23237.545 -44094.969 623.256 1.526438 -0.710110 3.108929 1.0000 28 23227.373 -44104.277 602.711 23248.406 -44084.773 643.841 SetDressing\Signage\RoadSigns\SignRoad_NoPark_NoPost01.nif
0x001CD101 0x001C90EE STAT -1 5 -11 23688.076 -44284.344 623.256 -1.527933 0.668560 6.248172 1.0000 28 23676.836 -44294.105 602.711 23698.662 -44275.496 643.841 SetDressing\Signage\RoadSigns\SignRoad_NoPark_NoPost01.nif
0x001CD100 0x0003AA4C STAT -1 5 -11 23687.719 -44285.496 548.857 0.000000 0.000000 0.599999 1.0000 168 23671.049 -44289.219 548.857 23699.451 -44268.207 688.732 SetDressing\Signage\RoadSigns\SignRoad_MPH25_02.nif
0x001CD0FF 0x00032F05 STAT -1 5 -11 22588.672 -44934.559 482.532 -0.002046 0.017280 2.171775 1.0000 248 22393.158 -45195.484 412.897 22786.789 -44702.742 483.691 Landscape\Sidewalks\SWCurbCurve02a.nif
0x001CD0F5 0x000047DE STAT -1 5 -11 24178.240 -44963.082 935.677 -0.000177 -0.028478 5.483189 1.0000 81 24104.043 -45036.734 935.463 24241.982 -44921.355 1153.137 SetDressing\Greebs\DiamondGreebAntenna01.nif
0x001CD0F4 0x00019D8A STAT -1 5 -11 24004.320 -44837.070 1030.389 -0.001596 -0.025845 1.642635 0.8100 52 23965.125 -44876.281 1029.562 24043.500 -44797.883 1134.551 Architecture\Roof\RoofChimney01.nif
0x001CD0F3 0x0001825F STAT -1 5 -11 24402.117 -44730.816 917.140 -0.001596 -0.025845 0.071839 0.8100 212 24339.270 -44886.055 917.140 24404.043 -44727.098 1109.984 Architecture\Roof\RoofChimenyStacks01.nif
0x001CD0F2 0x0001825F STAT -1 5 -11 24527.078 -44848.324 986.009 -0.001596 -0.025845 0.071839 0.8100 212 24464.230 -45003.563 986.009 24529.004 -44844.605 1178.854 Architecture\Roof\RoofChimenyStacks01.nif
0x001CD0EF 0x00022A16 STAT -1 5 -11 24522.238 -44702.234 629.882 0.000000 0.000000 0.061655 1.0000 12 24365.148 -44714.059 554.257 24677.305 -44694.789 707.069 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0ED 0x00022A16 STAT -1 5 -11 24264.531 -44610.125 619.719 0.000000 0.000000 0.066376 1.0000 12 24107.479 -44622.684 544.094 24419.539 -44601.938 696.906 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0EC 0x00022A16 STAT -1 5 -11 24264.531 -44610.125 822.194 0.000000 0.000000 0.066376 1.0000 12 24107.479 -44622.684 746.569 24419.539 -44601.938 899.381 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0EB 0x00022A16 STAT -1 5 -11 24000.791 -44654.035 615.435 0.000000 0.000000 0.061657 1.0000 12 23843.701 -44665.859 539.810 24155.857 -44646.590 692.622 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0EA 0x00022A16 STAT -1 5 -11 23889.004 -44647.133 823.435 0.000000 0.000000 0.061657 1.0000 12 23731.914 -44658.957 747.810 24044.070 -44639.688 900.622 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0E7 0x00001B52 STAT -1 5 -11 24000.861 -43723.383 589.200 -0.120877 0.046338 2.022387 1.0000 460 23809.563 -43809.461 584.367 24023.738 -43687.609 1182.692 SetDressing\StreetLamps\StreetLamp01.nif
0x001CD0E5 0x0013384F STAT -1 5 -11 23440.938 -44959.809 499.322 0.000000 0.000000 0.290000 1.0000 913 23329.461 -45082.883 493.838 23541.818 -44836.930 592.197 Landscape\Plants\Bramble03.nif
0x001CD0D2 0x00133855 STAT -1 5 -11 24077.814 -44313.625 648.187 0.071547 -0.036694 3.701562 1.0000 356 23932.984 -44439.027 632.632 24198.373 -44204.227 810.697 Landscape\Plants\DeadShrub03.nif
0x001CD0D1 0x00133856 STAT -1 5 -11 23928.191 -44280.887 658.066 0.041149 -0.069084 4.721455 0.8600 206 23825.213 -44443.840 633.219 24027.266 -44120.816 720.633 Landscape\Plants\DeadShrub04.nif
0x001CD0D0 0x000047E1 STAT -1 5 -11 24102.182 -43837.617 1438.584 0.000000 0.000000 4.501591 1.0000 210 24074.502 -43909.367 1438.584 24138.463 -43752.207 1601.209 SetDressing\Greebs\DiamondGreebAntenna04.nif
0x001CD0CB 0x00022A16 STAT -1 5 -11 24567.424 -43934.395 979.042 0.000000 0.000000 2.221598 1.0000 12 24471.430 -44056.750 903.417 24660.900 -43807.926 1056.229 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0CA 0x00022A16 STAT -1 5 -11 24567.424 -43934.395 1243.536 0.000000 0.000000 2.221598 1.0000 12 24471.430 -44056.750 1167.911 24660.900 -43807.926 1320.724 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0C9 0x00022A16 STAT -1 5 -11 24227.082 -43982.512 1243.536 0.000000 0.000000 3.792394 1.0000 12 24104.729 -44075.988 1167.911 24353.553 -43886.516 1320.724 Architecture\Buildings\SmallTown\Bld02AddWin01.nif
0x001CD0C7 0x000047E0 STAT -1 5 -11 24539.563 -43214.020 1208.795 0.000000 0.000000 4.712389 1.0000 122 24505.844 -43257.082 1208.795 24573.906 -43186.113 1489.795 SetDressing\Greebs\DiamondGreebAntenna03.nif
0x0009224D 0x00019820 STAT -1 5 -11 24264.352 -44612.402 430.194 0.000000 0.000000 0.066376 1.0000 861 24041.020 -45102.816 174.194 24455.930 -44599.668 982.194 Architecture\Buildings\SmallTown\Bld02FrontSidingACom01.nif
