x,y,lum,meanSat,lumStd,msnRelief,texturedCells
-92,52,66.88,0.1868,2.57,3.58,0
-92,56,68.42,0.1780,3.21,3.13,0
-92,60,70.15,0.1751,3.64,2.99,0
-92,64,65.84,0.1859,2.56,2.97,0
-92,68,66.72,0.1792,3.14,3.38,0
-92,72,65.65,0.1831,2.23,3.23,0
-92,76,66.49,0.1847,2.66,2.89,0
-92,80,69.05,0.1888,2.50,3.14,0
-92,84,70.50,0.1758,3.36,2.93,0
-92,88,64.16,0.1715,3.33,2.66,0
-92,92,64.67,0.1797,3.32,4.17,0
-88,-96,66.80,0.1920,2.23,3.70,0
-88,-92,64.15,0.1590,1.98,2.76,0
-88,-88,68.97,0.1751,3.37,3.02,0
-88,-84,69.92,0.1799,3.05,3.30,0
-88,-80,66.61,0.1877,2.94,3.02,0
-88,-76,67.23,0.1873,3.26,3.19,0
-88,-72,67.13,0.1781,3.08,2.63,0
-88,-68,69.88,0.1628,2.62,2.81,0
-88,-64,65.81,0.1869,2.75,3.23,0
-88,-60,65.45,0.1787,3.45,3.39,0
-88,-56,65.80,0.1882,2.43,3.40,0
-88,-52,66.69,0.1794,2.87,3.11,0
-88,-48,68.48,0.1813,3.52,3.07,0
-88,-44,71.35,0.1661,2.80,3.54,0
-88,-40,71.32,0.1712,2.59,3.24,0
-88,-36,68.42,0.1821,3.26,3.03,0
-88,-32,69.35,0.1734,3.23,2.79,0
-88,-28,67.24,0.1790,4.07,3.49,0
-88,-24,63.51,0.1628,2.61,3.29,0
-88,-20,64.93,0.1650,3.34,2.92,0
-88,-16,67.10,0.1665,3.40,2.83,0
-88,-12,68.31,0.1723,3.25,3.23,0
-88,-8,66.32,0.1921,1.76,3.49,0
-88,-4,70.48,0.1698,2.93,3.41,0
-88,0,64.79,0.1697,2.69,2.96,0
-88,4,66.88,0.1849,3.29,3.18,0
-88,8,63.09,0.1766,2.44,3.09,0
-88,12,65.22,0.1716,3.56,3.08,0
-88,16,66.80,0.1888,3.07,3.25,0
-88,20,64.08,0.1760,2.96,3.28,0
-88,24,64.08,0.1660,2.48,3.28,0
-88,28,63.54,0.1863,2.92,2.90,0
-88,32,66.58,0.1917,2.44,3.24,0
-88,36,66.64,0.1794,3.74,3.23,0
-88,40,69.56,0.1747,3.01,2.98,0
-88,44,65.29,0.1705,2.89,2.85,0
-88,48,69.14,0.1808,3.23,3.66,0
-88,52,70.28,0.1673,3.06,3.51,0
-88,56,68.79,0.1763,3.27,3.06,0
-88,60,64.10,0.1672,1.89,3.28,0
-88,64,63.90,0.1679,2.12,3.70,0
-88,68,66.81,0.1782,3.16,2.90,0
-88,72,64.64,0.1745,2.20,3.47,0
-88,76,71.06,0.1759,2.97,3.07,0
-88,80,67.29,0.1804,3.71,4.07,0
-88,84,68.62,0.1757,3.50,3.16,0
-88,88,66.67,0.1819,3.99,2.86,0
-88,92,66.68,0.1783,2.93,4.14,0
-84,-96,65.80,0.1934,2.51,3.88,0
-84,-92,67.12,0.1684,3.28,3.27,0
-84,-88,68.89,0.1721,2.88,2.91,0
-84,-84,65.82,0.1926,3.52,2.81,0
-84,-80,67.72,0.1886,2.85,3.52,0
-84,-76,67.99,0.1841,3.24,3.16,0
-84,-72,66.80,0.1893,2.16,3.21,0
-84,-68,66.51,0.1964,2.00,3.08,0
-84,-64,70.14,0.1733,2.96,3.35,0
-84,-60,68.64,0.1795,3.67,3.15,0
-84,-56,65.69,0.1830,2.53,3.38,0
-84,-52,68.10,0.1844,3.33,3.03,0
-84,-48,69.63,0.1765,3.92,3.11,0
-84,-44,66.83,0.1757,3.50,3.56,0
-84,-40,66.21,0.1699,3.44,3.02,0
-84,-36,65.41,0.1735,3.23,3.11,0
-84,-32,64.25,0.1806,3.14,2.82,0
-84,-28,65.08,0.1778,3.17,2.70,0
-84,-24,68.92,0.1853,3.05,3.22,0
-84,-20,68.75,0.1869,2.73,3.04,0
-84,-16,67.68,0.1709,3.40,3.00,0
-84,-12,71.00,0.1569,2.19,3.44,0
-84,-8,67.27,0.1707,3.54,3.33,0
-84,-4,66.41,0.1820,2.89,3.88,0
-84,0,67.58,0.1803,3.42,3.05,0
-84,4,70.19,0.1679,2.70,3.04,0
-84,8,67.32,0.1841,3.72,3.00,0
-84,12,66.73,0.1807,3.76,3.26,0
-84,16,65.28,0.1771,3.08,3.24,0
-84,20,68.64,0.1713,2.93,3.04,0
-84,24,66.20,0.1851,2.56,3.27,0
-84,28,66.21,0.1820,3.09,2.98,0
-84,32,67.27,0.1761,2.90,3.16,0
-84,36,65.91,0.1871,2.31,3.06,0
-84,40,63.94,0.1700,2.55,3.32,0
-84,44,67.29,0.1843,2.98,3.51,0
-84,48,65.17,0.1727,3.19,2.62,0
-84,52,65.93,0.1825,4.34,3.16,0
-84,56,66.92,0.1803,2.86,3.26,0
-84,60,67.75,0.1747,3.18,3.12,0
-84,64,68.83,0.1874,3.27,3.06,0
-84,68,70.98,0.1648,3.13,3.22,0
-84,72,66.24,0.1708,3.83,3.57,0
-84,76,66.67,0.1799,3.23,3.55,0
-84,80,66.49,0.1878,2.88,3.29,0
-84,84,67.49,0.1795,3.41,3.36,0
-84,88,66.17,0.1840,2.58,3.22,0
-84,92,65.59,0.1841,3.18,3.87,0
-80,-96,66.04,0.1842,2.88,3.57,0
-80,-92,67.52,0.1857,2.91,3.33,0
-80,-88,67.24,0.1771,3.26,3.20,0
-80,-84,65.30,0.1759,2.97,3.24,0
-80,-80,67.88,0.1778,3.95,6.15,0
-80,-76,73.79,0.1634,10.81,28.82,0
-80,-72,72.12,0.1747,13.76,27.03,0
-80,-68,74.63,0.1627,12.98,23.67,0
-80,-64,73.97,0.1631,13.68,23.54,0
-80,-60,75.40,0.1530,13.48,23.32,0
-80,-56,71.96,0.1631,14.17,21.42,0
-80,-52,73.77,0.1567,14.72,22.23,0
-80,-48,73.79,0.1682,14.29,24.36,0
-80,-44,75.19,0.1515,14.62,22.33,0
-80,-40,71.74,0.1576,16.21,21.71,0
-80,-36,72.90,0.1467,16.39,20.92,0
-80,-32,72.13,0.1467,17.26,20.37,0
-80,-28,72.64,0.1571,16.19,19.42,0
-80,-24,74.94,0.1689,16.31,18.67,0
-80,-20,74.55,0.1628,15.45,19.11,0
-80,-16,73.93,0.1616,15.89,19.61,0
-80,-12,74.97,0.1593,15.52,19.49,0
-80,-8,72.28,0.1593,16.40,19.22,0
-80,-4,74.52,0.1599,16.72,18.98,0
-80,0,74.29,0.1647,15.73,19.73,0
-80,4,72.73,0.1533,16.85,20.02,0
-80,8,77.82,0.1552,15.35,20.24,0
-80,12,73.63,0.1601,16.80,19.23,0
-80,16,72.95,0.1578,16.28,19.38,0
-80,20,73.56,0.1695,16.27,18.43,0
-80,24,76.10,0.1614,15.74,19.59,0
-80,28,72.36,0.1551,16.35,17.93,0
-80,32,73.46,0.1612,15.84,17.84,0
-80,36,71.92,0.1653,16.37,19.73,0
-80,40,75.36,0.1547,15.92,18.18,0
-80,44,74.77,0.1679,16.79,18.87,0
-80,48,73.58,0.1630,16.22,17.97,0
-80,52,76.50,0.1539,15.12,19.54,0
-80,56,73.86,0.1611,16.29,19.63,0
-80,60,75.29,0.1581,16.66,19.69,0
-80,64,73.27,0.1581,17.79,19.49,0
-80,68,75.56,0.1652,15.73,17.70,0
-80,72,76.03,0.1439,16.00,20.45,0
-80,76,70.01,0.1689,6.53,11.98,0
-80,80,68.54,0.1822,3.41,3.00,0
-80,84,65.33,0.1802,3.02,3.11,0
-80,88,68.52,0.1754,3.76,3.44,0
-80,92,66.07,0.1795,3.48,4.22,0
-76,-96,65.00,0.1960,3.34,3.38,0
-76,-92,64.78,0.1859,3.10,2.96,0
-76,-88,67.40,0.1873,3.19,2.48,0
-76,-84,65.08,0.1745,2.52,3.20,0
-76,-80,67.98,0.1679,8.49,22.11,0
-76,-76,89.59,0.1620,11.07,52.04,0
-76,-72,95.15,0.1616,9.94,65.00,0
-76,-68,90.50,0.1695,13.04,62.11,0
-76,-64,89.85,0.1650,13.30,56.50,0
-76,-60,86.71,0.1634,15.31,58.37,0
-76,-56,95.51,0.1656,10.44,63.08,0
-76,-52,89.46,0.1555,14.88,50.39,0
-76,-48,95.79,0.1235,13.26,63.63,0
-76,-44,100.09,0.1202,9.83,46.46,0
-76,-40,94.72,0.1213,16.03,52.22,0
-76,-36,100.14,0.1211,12.51,64.78,0
-76,-32,98.39,0.1368,13.97,59.06,0
-76,-28,93.29,0.1463,16.68,49.61,0
-76,-24,99.25,0.1383,13.40,48.73,0
-76,-20,98.12,0.1308,13.53,48.59,0
-76,-16,102.92,0.0906,12.69,57.03,0
-76,-12,104.92,0.0861,8.33,52.54,0
-76,-8,106.23,0.0906,9.02,56.29,0
-76,-4,101.54,0.1160,12.51,51.16,0
-76,0,103.33,0.0960,12.35,59.86,0
-76,4,105.15,0.0955,10.02,55.17,0
-76,8,106.71,0.0724,7.41,74.38,0
-76,12,101.48,0.1184,13.93,55.94,0
-76,16,100.81,0.1105,14.04,54.28,0
-76,20,97.72,0.1276,15.26,46.84,0
-76,24,98.71,0.1213,14.95,60.26,0
-76,28,94.51,0.1524,15.04,56.62,0
-76,32,97.11,0.1378,14.29,50.34,0
-76,36,106.32,0.0743,8.92,82.46,0
-76,40,101.21,0.1152,12.65,56.95,0
-76,44,106.92,0.0879,11.14,71.45,0
-76,48,102.21,0.1065,12.11,55.49,0
-76,52,104.44,0.0871,11.56,77.37,0
-76,56,104.62,0.0873,8.01,74.58,0
-76,60,102.39,0.0971,10.41,63.86,0
-76,64,100.45,0.1000,12.52,49.43,0
-76,68,99.14,0.1236,14.48,57.56,0
-76,72,107.87,0.0786,10.33,80.02,0
-76,76,76.88,0.1456,18.89,44.98,0
-76,80,66.26,0.1822,3.05,2.84,0
-76,84,69.13,0.1860,2.14,2.77,0
-76,88,66.44,0.1705,3.53,3.30,0
-76,92,66.79,0.1897,3.16,4.21,0
-72,-96,63.84,0.1696,2.74,3.89,0
-72,-92,65.33,0.1824,3.49,3.15,0
-72,-88,65.85,0.1785,3.61,3.17,0
-72,-84,68.61,0.1745,3.26,3.23,0
-72,-80,70.92,0.1783,9.59,23.21,0
-72,-76,85.86,0.1993,6.22,30.92,0
-72,-72,84.60,0.2084,8.09,35.91,0
-72,-68,85.71,0.2179,7.11,31.60,0
-72,-64,86.73,0.2129,8.16,31.98,0
-72,-60,80.12,0.2121,8.43,36.77,0
-72,-56,76.62,0.2097,9.58,33.22,0
-72,-52,86.72,0.2073,9.97,49.27,0
-72,-48,80.87,0.2098,10.54,53.92,0
-72,-44,88.17,0.2074,9.20,52.44,0
-72,-40,77.24,0.2167,9.02,44.55,0
-72,-36,75.84,0.2237,6.78,35.25,0
-72,-32,79.18,0.2167,8.90,42.13,0
-72,-28,81.89,0.2164,8.40,45.14,0
-72,-24,76.52,0.2315,7.49,43.23,0
-72,-20,79.27,0.2113,9.69,51.29,0
-72,-16,87.35,0.2212,9.02,47.89,0
-72,-12,86.67,0.2143,8.49,42.04,0
-72,-8,96.07,0.2039,7.34,44.17,0
-72,-4,83.14,0.2278,10.72,41.91,0
-72,0,89.36,0.2060,9.33,62.81,0
-72,4,89.53,0.2133,9.01,52.59,0
-72,8,82.22,0.2016,14.21,61.56,0
-72,12,88.23,0.1859,13.08,57.25,0
-72,16,87.08,0.2252,8.94,45.16,0
-72,20,85.63,0.2309,9.75,51.29,0
-72,24,84.51,0.2080,9.01,48.16,0
-72,28,84.19,0.2022,9.28,46.73,0
-72,32,74.67,0.2429,8.24,39.41,0
-72,36,88.60,0.2014,12.00,55.85,0
-72,40,89.36,0.2422,11.06,51.96,0
-72,44,94.96,0.2270,10.88,55.35,0
-72,48,87.23,0.2544,8.79,50.53,0
-72,52,93.31,0.1739,13.17,60.41,0
-72,56,98.54,0.1547,11.68,59.59,0
-72,60,97.93,0.1628,10.88,47.83,0
-72,64,95.84,0.1400,12.85,54.89,0
-72,68,79.95,0.2327,11.89,41.56,0
-72,72,98.21,0.1587,15.65,75.91,0
-72,76,79.72,0.1476,17.90,44.40,0
-72,80,65.45,0.1742,2.70,3.29,0
-72,84,68.08,0.1914,3.20,2.94,0
-72,88,63.47,0.1599,1.86,3.26,0
-72,92,64.42,0.1671,2.56,4.38,0
-68,-96,64.74,0.1923,3.41,3.67,0
-68,-92,67.93,0.1891,2.84,3.64,0
-68,-88,64.33,0.1701,2.62,2.85,0
-68,-84,67.71,0.1845,3.44,3.13,0
-68,-80,72.90,0.1628,13.73,25.06,0
-68,-76,98.76,0.1224,9.65,52.83,0
-68,-72,80.79,0.2101,9.88,38.19,0
-68,-68,79.05,0.2227,8.37,27.83,0
-68,-64,76.68,0.2107,6.97,22.26,0
-68,-60,82.29,0.2025,9.00,20.80,0
-68,-56,83.25,0.2096,9.57,22.79,0
-68,-52,77.19,0.2001,9.73,32.30,0
-68,-48,86.21,0.2044,9.83,47.88,0
-68,-44,85.34,0.1975,9.58,43.47,0
-68,-40,86.48,0.1901,11.42,50.35,0
-68,-36,78.85,0.2096,8.76,39.97,0
-68,-32,84.78,0.1953,10.53,49.68,0
-68,-28,92.55,0.2111,6.89,47.63,0
-68,-24,85.90,0.1987,11.66,53.64,0
-68,-20,93.50,0.1772,11.15,58.94,0
-68,-16,86.82,0.1958,12.50,55.15,0
-68,-12,91.91,0.1860,15.16,55.05,0
-68,-8,89.08,0.2085,11.27,54.38,0
-68,-4,89.36,0.1968,10.34,46.75,0
-68,0,84.31,0.1775,15.18,42.04,0
-68,4,84.00,0.2018,10.88,59.24,0
-68,8,82.04,0.2123,11.44,60.19,0
-68,12,92.78,0.1935,12.65,62.90,0
-68,16,98.25,0.1672,12.02,52.30,0
-68,20,92.93,0.1737,12.33,45.97,0
-68,24,85.38,0.1936,11.42,53.16,0
-68,28,81.94,0.2102,8.75,53.25,0
-68,32,87.94,0.2076,11.28,60.37,0
-68,36,79.89,0.2303,9.59,51.60,0
-68,40,89.05,0.2136,16.61,51.19,0
-68,44,92.21,0.2142,11.12,46.33,0
-68,48,94.30,0.2023,11.69,55.59,0
-68,52,84.62,0.2288,10.00,67.62,0
-68,56,98.06,0.1871,10.50,65.88,0
-68,60,101.99,0.1495,12.02,36.81,0
-68,64,93.27,0.1693,11.80,55.85,0
-68,68,88.15,0.2048,12.35,41.86,0
-68,72,102.24,0.1748,11.37,74.33,0
-68,76,77.45,0.1483,19.38,45.31,0
-68,80,67.34,0.1782,3.20,3.02,0
-68,84,69.91,0.1798,3.58,3.73,0
-68,88,65.65,0.1706,3.67,3.15,0
-68,92,63.90,0.1667,2.91,4.07,0
-64,-96,64.64,0.1847,3.83,3.90,0
-64,-92,66.49,0.1865,3.18,3.31,0
-64,-88,65.36,0.1794,2.75,3.47,0
-64,-84,66.70,0.1814,2.98,3.20,0
-64,-80,71.88,0.1493,14.83,23.02,0
-64,-76,94.12,0.1550,13.43,59.41,0
-64,-72,82.79,0.2080,10.96,54.25,0
-64,-68,85.92,0.1923,11.46,44.42,0
-64,-64,87.59,0.1953,9.84,41.89,0
-64,-60,84.77,0.2007,9.68,49.16,0
-64,-56,81.84,0.2064,9.45,43.85,0
-64,-52,82.66,0.2114,9.32,48.83,0
-64,-48,79.71,0.2167,9.28,43.02,0
-64,-44,73.50,0.2147,8.66,31.80,0
-64,-40,87.16,0.2062,10.84,41.41,0
-64,-36,82.59,0.2046,8.52,34.45,0
-64,-32,87.58,0.1998,9.30,49.64,0
-64,-28,77.39,0.1984,10.65,40.63,0
-64,-24,84.66,0.1956,9.19,39.91,0
-64,-20,90.48,0.1775,8.98,37.92,0
-64,-16,87.49,0.1836,11.88,31.73,0
-64,-12,84.76,0.1883,11.72,50.42,0
-64,-8,92.32,0.1831,12.35,41.72,0
-64,-4,88.58,0.1984,10.83,45.17,0
-64,0,79.18,0.2024,9.33,39.56,0
-64,4,80.74,0.2060,11.69,45.35,0
-64,8,84.75,0.1909,13.78,42.40,0
-64,12,91.25,0.1694,14.03,53.48,0
-64,16,91.49,0.1789,13.59,59.80,0
-64,20,85.49,0.1946,11.67,51.59,0
-64,24,86.31,0.1955,11.04,54.11,0
-64,28,88.93,0.1978,10.77,50.70,0
-64,32,92.74,0.1833,12.06,50.24,0
-64,36,83.12,0.2244,10.78,55.31,0
-64,40,83.98,0.2196,14.34,60.41,0
-64,44,85.08,0.2396,9.51,42.88,0
-64,48,83.55,0.2086,11.04,56.45,0
-64,52,80.50,0.2054,11.76,47.45,0
-64,56,97.80,0.1830,9.79,45.52,0
-64,60,93.44,0.1885,12.72,46.06,0
-64,64,84.09,0.2142,13.18,54.51,0
-64,68,96.97,0.2094,9.00,51.49,0
-64,72,100.84,0.1829,12.01,65.75,0
-64,76,77.33,0.1569,17.88,45.68,0
-64,80,68.20,0.1769,3.14,3.34,0
-64,84,62.74,0.1823,2.46,3.14,0
-64,88,66.99,0.1797,3.16,3.34,0
-64,92,64.76,0.1841,2.88,4.34,0
-60,-96,67.65,0.1875,3.00,3.33,0
-60,-92,64.10,0.1835,3.51,3.12,0
-60,-88,67.79,0.1876,3.00,3.25,0
-60,-84,63.16,0.1694,3.14,3.32,0
-60,-80,72.59,0.1487,14.31,23.98,0
-60,-76,99.81,0.1347,9.78,56.29,0
-60,-72,89.52,0.1925,10.16,54.90,0
-60,-68,85.92,0.1905,11.75,57.61,0
-60,-64,82.32,0.1999,9.93,58.79,0
-60,-60,90.77,0.1875,9.82,51.72,0
-60,-56,82.18,0.2069,10.20,45.33,0
-60,-52,77.53,0.2095,9.09,35.45,0
-60,-48,82.69,0.1969,12.66,35.25,0
-60,-44,90.60,0.1729,13.84,44.52,0
-60,-40,84.11,0.2121,11.56,49.33,0
-60,-36,91.43,0.1928,10.87,44.15,0
-60,-32,90.34,0.1918,10.83,55.04,0
-60,-28,70.84,0.2231,7.92,35.35,0
-60,-24,81.49,0.2099,9.65,31.34,0
-60,-20,84.09,0.2109,8.70,27.36,0
-60,-16,82.15,0.2057,11.44,31.90,0
-60,-12,84.07,0.1925,11.04,45.23,0
-60,-8,79.80,0.2168,9.54,43.38,0
-60,-4,90.29,0.1924,10.50,54.65,0
-60,0,78.97,0.2096,9.43,39.67,0
-60,4,77.75,0.2122,8.02,34.13,0
-60,8,85.05,0.1761,15.44,39.89,0
-60,12,89.71,0.1810,12.15,66.93,0
-60,16,87.21,0.2024,11.10,62.21,0
-60,20,91.33,0.1688,12.10,45.07,0
-60,24,92.33,0.1773,11.53,42.71,0
-60,28,85.63,0.1875,13.46,41.39,0
-60,32,96.28,0.1786,11.33,47.47,0
-60,36,94.76,0.1876,10.77,51.04,0
-60,40,92.77,0.1645,13.33,53.43,0
-60,44,89.35,0.1965,10.97,65.45,0
-60,48,91.89,0.1701,13.68,47.97,0
-60,52,89.15,0.1953,11.93,47.55,0
-60,56,88.85,0.1752,12.42,47.26,0
-60,60,81.81,0.2037,13.51,44.64,0
-60,64,92.53,0.1664,16.47,46.18,0
-60,68,92.51,0.2330,9.10,60.41,0
-60,72,97.05,0.1774,15.85,60.28,0
-60,76,75.89,0.1478,19.84,44.58,0
-60,80,65.28,0.1728,3.02,3.03,0
-60,84,68.64,0.1786,3.73,3.73,0
-60,88,65.50,0.1782,2.83,3.12,0
-60,92,65.90,0.1851,2.56,4.17,0
-56,-96,65.38,0.1858,2.97,4.18,0
-56,-92,65.75,0.1855,2.99,3.39,0
-56,-88,65.14,0.1905,3.31,3.34,0
-56,-84,66.29,0.1811,2.74,3.22,0
-56,-80,73.59,0.1563,14.72,26.11,0
-56,-76,97.53,0.1151,11.26,53.56,0
-56,-72,86.63,0.2024,10.30,44.78,0
-56,-68,79.52,0.2095,8.96,38.96,0
-56,-64,80.29,0.2178,9.66,42.40,0
-56,-60,88.57,0.1996,8.97,56.73,0
-56,-56,87.56,0.2080,8.77,52.10,0
-56,-52,82.78,0.2059,9.69,58.22,0
-56,-48,86.22,0.2003,12.32,44.48,0
-56,-44,90.39,0.1895,11.02,66.48,0
-56,-40,83.95,0.1872,13.25,48.83,0
-56,-36,90.34,0.1776,12.22,50.58,0
-56,-32,92.91,0.1734,11.82,45.98,0
-56,-28,84.58,0.2101,10.56,37.01,0
-56,-24,81.32,0.2013,8.09,40.47,0
-56,-20,83.32,0.1882,11.57,58.24,0
-56,-16,84.53,0.1857,11.99,51.29,0
-56,-12,85.51,0.1748,14.59,46.27,0
-56,-8,85.57,0.1909,11.53,43.43,0
-56,-4,77.24,0.2081,12.00,36.43,0
-56,0,81.99,0.2177,10.61,33.43,0
-56,4,79.73,0.2061,9.10,36.39,0
-56,8,89.97,0.1830,11.08,45.32,0
-56,12,88.67,0.1734,13.14,54.01,0
-56,16,89.62,0.1681,12.91,52.56,0
-56,20,87.69,0.1736,13.21,47.18,0
-56,24,79.76,0.2047,9.53,36.99,0
-56,28,91.59,0.1665,13.22,41.47,0
-56,32,94.47,0.1621,12.49,68.15,0
-56,36,99.05,0.1399,11.41,47.07,0
-56,40,90.37,0.1649,14.79,57.95,0
-56,44,92.66,0.1750,11.84,48.28,0
-56,48,92.39,0.1640,13.92,57.80,0
-56,52,83.75,0.2011,10.13,48.72,0
-56,56,83.69,0.1965,11.82,39.18,0
-56,60,88.06,0.1829,12.23,50.29,0
-56,64,97.09,0.1608,13.34,45.31,0
-56,68,95.08,0.2179,9.18,40.20,0
-56,72,101.18,0.1453,15.06,69.61,0
-56,76,81.89,0.1359,17.65,44.13,0
-56,80,68.57,0.1894,2.45,2.98,0
-56,84,67.98,0.1806,3.52,2.95,0
-56,88,64.23,0.1661,3.28,3.62,0
-56,92,66.42,0.1800,3.67,3.59,0
-52,-96,65.16,0.1722,3.15,3.94,0
-52,-92,69.69,0.1906,2.15,3.24,0
-52,-88,64.55,0.1820,3.17,3.01,0
-52,-84,69.45,0.1866,2.33,2.88,0
-52,-80,71.58,0.1633,14.43,23.63,0
-52,-76,94.87,0.1377,12.56,50.89,0
-52,-72,88.41,0.2052,9.82,40.11,0
-52,-68,81.07,0.2161,10.28,40.69,0
-52,-64,83.43,0.2014,8.46,42.63,0
-52,-60,78.11,0.2058,7.84,38.78,0
-52,-56,89.46,0.2053,9.47,52.41,0
-52,-52,85.68,0.1968,11.80,49.41,0
-52,-48,87.48,0.1852,12.78,46.47,0
-52,-44,98.10,0.1554,11.52,60.42,0
-52,-40,78.52,0.2013,13.68,49.25,0
-52,-36,94.77,0.1455,11.66,54.88,0
-52,-32,93.87,0.1684,10.80,46.46,0
-52,-28,84.99,0.2058,11.15,42.52,0
-52,-24,76.72,0.2129,9.23,32.63,0
-52,-20,77.75,0.2082,8.17,28.86,0
-52,-16,78.24,0.2105,9.37,32.94,0
-52,-12,71.32,0.2242,10.41,39.06,0
-52,-8,90.61,0.1953,9.13,47.01,0
-52,-4,87.51,0.2052,10.72,39.96,0
-52,0,74.16,0.2061,7.63,30.04,0
-52,4,78.25,0.2116,9.20,40.20,0
-52,8,89.63,0.1930,12.23,42.71,0
-52,12,90.56,0.1710,11.60,56.11,0
-52,16,89.38,0.1630,15.51,43.85,0
-52,20,73.66,0.2010,7.93,35.03,0
-52,24,86.36,0.1995,8.98,36.87,0
-52,28,86.96,0.1845,12.28,46.88,0
-52,32,92.26,0.1519,13.15,57.53,0
-52,36,96.12,0.1527,11.72,36.77,0
-52,40,89.01,0.1707,12.46,39.04,0
-52,44,81.59,0.2038,9.43,50.24,0
-52,48,90.93,0.1758,11.94,55.01,0
-52,52,84.27,0.1924,11.04,53.28,0
-52,56,88.22,0.2045,9.94,45.63,0
-52,60,86.21,0.1976,12.50,45.72,0
